Buildingid,Operation Name,Operation Type,City,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Electricity Quantity Purchased and Consumed,Electricity Unit Purchased and Consumed,Natural Gas Quantity Purchased and Consumed,Natural Gas Unit Purchased and Consumed,Total GHG Emissions (KG),Total Energy Intensity (EkWh/SqFt),Total Energy Intensity (EkWh/Mega Litres),Comments
2084489,Activa Sportsplex,Indoor ice rinks,Kitchener,10110.73,Square meters,105,0,2096705,kWh,136279,Cubic Meter,293921.56,32.57,0,
2004558,Breithaupt Center Pool & Community Centre,Indoor swimming pools,Kitchener,4060.33,Square meters,84,0,565925,kWh,173546,Cubic Meter,337900.12,55.15,0,
2007374,Bridgeport CC,Community centres,Kitchener,545.55,Square meters,84,0,71392,kWh,,,1234.94,12.16,0,
2007156,Bridgeport Daycare Municipal Bldg,"Administrative offices and related facilities, including municipal council chambers",Kitchener,488.11,Square meters,50,0,38504,kWh,6832,Cubic Meter,13582.81,21.15,0,
2053072,Budd Park Soccer Bldg,Indoor sports arenas,Kitchener,4457.5,Square meters,84,0,214060,kWh,28932,Cubic Meter,58402.43,10.87,0,
2015422,CDI/ Everest College,"Administrative offices and related facilities, including municipal council chambers",Kitchener,3237.49,Square meters,70,0,369635,kWh,54476,Cubic Meter,109387.74,27.22,0,
2033722,Centerville Chicopee CC,Community centres,Kitchener,746.84,Square meters,84,0,79456,kWh,9341,Cubic Meter,19034.78,22.23,0,
2038759,Chandler Mowat CC,Community centres,Kitchener,886.93,Square meters,84,0,72471,kWh,12454,Cubic Meter,24799.47,21.46,0,
2088369,Charles & Benton Garage,Parking garages,Kitchener,15908,Square meters,168,0,447636,kWh,,,7743.21,2.61,0,
2013795,City Hall Complex,"Administrative offices and related facilities, including municipal council chambers",Kitchener,20438.67,Square meters,98,0,3103288,kWh,246711,Cubic Meter,520119.15,26.02,0,
2013795,City Hall Parking Garage,Parking garages,Kitchener,18160.69,Square meters,168,0,1034429,kWh,,,17893.55,5.29,0,
2132315,Civic District Garage,Parking garages,Kitchener,15318,Square meters,168,0,371430,kWh,,,6425,2.25,0,
2046092,Country Hills CC,Community centres,Kitchener,1437.35,Square meters,84,0,92873,kWh,18634,Cubic Meter,36836.46,18.8,0,
2009868,Don McLaren Arena,Indoor ice rinks,Kitchener,2592.13,Square meters,105,0,507712,kWh,32676,Cubic Meter,70560.53,30.64,0,
